asset_description,asset_abbreviation,system,ifc_class,ifc_type,haystack_tag,brick_parent,brick_child,uniclass_parent,uniclass_product,uniclass_code
pump - potable/domestic water booster pump,DWBP,PH,IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - potable/domestic water transfer pump,DWTP,PH,IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - primary chilled water pump ,PCHWP,HVAC,IfcPump,NOTDEFINED,pump,Water Pump,Chilled Water Pump,,,
pump - primary pump,PP,"HVAC, PH",IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - process cooling water pump,PCWP,HVAC,IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - process water pump,PWP,HVAC,IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - recirculation pump,RCP,"HVAC, PH",IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - recycled water pump,RWP,"HVAC, PH",IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - secondary chilled water pump,SCHWP,HVAC,IfcPump,NOTDEFINED,pump,Water Pump,Water Pump,,,
pump - secondary heating circulation pump ,SHCP,HVAC,IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - secondary hot water circulating pump ,SHWP,"HVAC, PH",IfcPump,NOTDEFINED,pump,,,,,
pump - secondary pump,SP,"HVAC, PH",IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - separator pump,SEPP,HVAC,IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - sewage ejector pump,SEP,PH,IfcPump,,pump,Pump,Water Pump,Water supply and wastewater pumps,Volute casing dry well centrifugal sewage and sludge pumps,Pr_65_53_96_95
pump - sump pump,SMPP,PH,IfcPump,SUMPPUMP,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - tower make up pump,TMUP,HVAC,IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - transfer pump,TRP,HVAC,IfcPump,NOTDEFINED,pump,Pump,,Supply and exhaust pumps,Fuel oil transfer pumps,Pr_65_53_86_32
pump - vacuum pump,VCP,"HVAC, PH",IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pump - waste water pump,WWP,"HVAC, PH",IfcPump,NOTDEFINED,pump,Pump,Water Pump,Pump products,Water supply and wastewater pumps,Pr_65_53_96
pv ac disconnect,PVACDS,Electrical,IfcSwitchingDevice,SWITCHDISCONNECTOR,,Electrical Equipment,Disconnect Switch,,,
pv data acquisition system,PVDAS,Electrical,IfcController,NOTDEFINED,controller,,,,,
pv dc combiner,PVDCC,Electrical,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,elec-panel,,,,,
pv dc disconnect,PVDCDS,Electrical,IfcSwitchingDevice,SWITCHDISCONNECTOR,,Electrical Equipment,Disconnect Switch,,,
pv distribution board,PVDB,Electrical,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,elec-panel,,,,,
pv inverter,PVI,Electrical,IfcTransformer,INVERTER,,Electrical Equipment,Inverter,,,
pv microgrid controller,PVMC,Electrical,IfcController,NOTDEFINED,controller,,,,,
pv module-level power electronics,PVMLPE,Electrical,IfcController,NOTDEFINED,controller,,,,,
pv panel,PVP,Electrical,IfcSolarDevice,SOLARPANEL,,Solar Panel,,,,
pv tranformer,PVTXMR,Electrical,IfcTransformer,NOTDEFINED,,Electrical Equipment,Transformer,,,
sand oil interceptor,SOI,PH,IfcInterceptor,OIL,,,,,,
sand separator,SSP,PH,IfcInterceptor,NOTDEFINED,,,,,,
seismic gas valve,SGV,"HVAC, PH",IfcValve,NOTDEFINED,valve,,,,,
sensor - CO sensor,COS,"HVAC, ES",IfcSensor,COSENSOR,,Sensor,,,,
sensor - CO2 sensor,CDS,"HVAC, ES",IfcSensor,CO2SENSOR,,Sensor,CO2 Sensor,,,
sensor - humidity sensor,HMS,HVAC,IfcSensor,HUMIDITYSENSOR,,Sensor,Humidity Sensor,Sensors and detectors,Relative humidity sensors,Pr_75_50_76_71
sensor - leak detection sensor,LDS,"HVAC, PH",IfcSensor,NOTDEFINED,,Sensor,,,,
sensor - lighting motion sensor,LMS,LC,IfcSensor,MOVEMENTSENSOR,,Sensor,Occupancy Sensor,Sensors and detectors,Occupancy sensors,90-65-50-415 Occupancy sensors;
sensor - lighting photocell sensor,LPS,LC,IfcSensor,LIGHTSENSOR,,Sensor,,,,
sensor - motion sensor,MOS,"HVAC Control, LC, Security ",IfcSensor,MOVEMENTSENSOR,occupied,Sensor,Motion Sensor,,,
sensor - multi sensor,MTS,"HVAC Control, LC, ES",IfcSensor,NOT DEFINED,,Sensor,,,,
sensor - people counting sensor,PCS,"HVAC Control, LC, ES",IfcSensor ,NOTDEFINED,,Sensor,,,,
sensor - pressure sensor,PS,"HVAC, PH",IfcSensor,PRESSURESENSOR,,Sensor,Pressur Sensor,Sensors and detectors,Pressure sensors,Pr_75_50_76_68
sensor - smoke detector,SD,Fire,IfcSensor,SMOKESENSOR,,Sensor,,,,
sensor - static pressure sensor,SPS,HVAC,IfcSensor,PRESSURESENSOR,,Pressure Sensor,Static Pressure Sensor,Sensors and detectors,Pressure sensors,Pr_75_50_76_68
sensor - temperature sensor,TPS,HVAC,IfcSensor,TEMPERATURESENSOR,,Sensor,Temperature Sensor,Sensors and detectors,"Air temperature sensors,
Liquid temperature sensors","Pr_75_50_76_03,
Pr_75_50_76_47"
sensor - thermostat,TSTAT,HVAC Controls,IfcUnitaryControlElement,THERMOSTAT,thermostat,Thermostat,,,,
sewage ejector,SE,PH,IfcPump,,pump,Pump,,,,
tank - break tank and booster set,BTBS,PH,IfcTank,BREAKPRESSURE,tank,,,Services source products,"Tank, cylinder and vessel products",Pr_60_50
tank - condensate receiver tank,CNR,"HVAC, PH",ifcTank,STORAGE,,,,,,
tank - deareator tank,DEA,"HVAC, PH",IfcTank,NOTDEFINED,tank,,,,,
tank - decontamination tank,DET,"HVAC, PH",IfcTank,NOTDEFINED,tank,,,,,
tank - emergency sewer tank,EST,PH,IfcTank,NOTDEFINED,tank,,,,,
tank - emergency water tank,EWT,PH,IfcTank,STORAGE,tank,,,,,
tank - expansion tank,ET,"HVAC, PH",IfcTank,EXPANSION,tank,,,Cylinders and buffer vessels,Expansion vessels,Pr_60_50_20_28
tank - fire hydrant tank,FHT,Fire,IfcTank,STORAGE,tank,,,Services source products,"Tank, cylinder and vessel products",Pr_60_50
tank - fuel oil day tank,FODT,"HVAC, Electrical",IfcTank,NOTDEFINED,tank,,,,,
tank - fuel oil storage tank,FOST,"HVAC, Electrical",IfcTank,STORAGE,tank,,,,,
tank - hot water cylinder,HWC,"HVAC, PH",IfcTank,STORAGE,tank,,,Services source products,"Tank, cylinder and vessel products",Pr_60_50
tank - potable/domestic water storage tank,DWST,PH,IfcTank,STORAGE,,Space,Room,,,
tank - potable/domestic water transfer tank,DWTT,PH,IfcTank,NOTDEFINED,tank,,,Services source products,"Tank, cylinder and vessel products",Pr_60_50
tank - sprinkler tank,SPT,"PH, Fire",IfcTank,STORAGE,tank,,,Services source products,"Tank, cylinder and vessel products",Pr_60_50
tank - thermal storage tank,TST,"HVAC, PH",IfcTank,STORAGE,tank,,,Services source products,"Tank, cylinder and vessel products",Pr_60_50
tank - water tank,TK,PH,IfcTank,STORAGE,tank,,,Services source products,"Tank, cylinder and vessel products",Pr_60_50
thermal wheel,TW,HVAC,IfcAirToAirHeatRecovery,ROTARYWHEEL,heatExchanger,"HX, Heat Exchanger",Heat Wheel,Heat recovery distribution equipment,Thermal wheels,Pr_60_60_36_88
transformer,TXMR,Electrical,IfcTransformer,NOTDEFINED,,Electrical Equipment,Transformer,,(multiple),
transportation - escalator,ESC,Transportation,IfcTransportElement,ESCALATOR,escalator,,,,,
transportation - lift / elevator,ELV,Transportation,IfcTransportElement,ELEVATOR,elevator,Elevator,,"Lift enclosures, access and supports",Lift cars,Pr_80_77_46_46
transportation - lift / elevator controller,ELC,Transportation,IfcUnitaryControlElement,NOTDEFINED,controls-panel,,,Controllers and control panels,Lift control panels,Pr_75_50_18_45
transportation - lift / elevator door motor,ELDM,Transportation,IfcElectricMotor,NOTDEFINED,motor,,,,,
transportation - lift / elevator inverter,ELI,Transportation,IfcTransformer,INVERTER,,Electrical Equipment,Inverter,,,
transportation - lift / elevator traction machine,ELTM,Transportation,IfcElectricMotor,NOTDEFINED,motor,,,,,
transportation - moving walkway,AW,Transportation,IfcTransportElement,MOVINGWALKWAY,movingWalkway,,,,,
trap primer,TP,PH,IfcValve,NOTDEFINED,valve,Valve,,,,
trap primer - electronic trap primer,TPE,PH,IfcValve,NOTDEFINED,valve,Valve,,,,
ups - uninteruptable power supply unit,UPS,Electrical,IfcElectricFlowStorageDevice,UPS,,Electrical Equipment,Energy Storage,Power conditioning supply equipment,Uninterruptible power supply (UPS) units,Pr_60_70_64_93
valve,VLV,"HVAC, HVAC Control",IfcValve,NOTDEFINED,valve,Valve,,,(differentiated by service),
valve - air admittance valve,AAV,PH,IfcValve,AIRRELEASE,valve,Valve,,Drainage valves,Air admittance valves,Pr_65_54_24_02
valve - angle stop valve,AV,PH,IfcValve ,NOTDEFINED,valve,Valve,Isolation Valve,,,
valve - backflow preventer valve,BFP,PH,IfcValve,NOTDEFINED,valve,Valve,,,,
valve - balancing valve,BLV,HVAC,IfcValve,COMMISSIONING,valve,Valve,,,,
valve - ball valve,BV,"HVAC, PH",Ifcvalve,GASCOCK,valve,,,Water services valves,Ball valves,Pr_65_54_95_06
valve - blowdown valve,BDV,HVAC,IfcValve,NOTDEFINED,valve,Valve,,,,
valve - butterfly valve,BFV,HVAC,IfcValve,NOTDEFINED,valve,Valve,,Water services valves,Butterfly valves,Pr_65_54_95_08
valve - bypass valve,BYV,"HVAC, PH",IfcValve,DIVERTING,diverting,Valve,,,,
valve - check valve,CKV,"HVAC, PH",IfcValve,CHECK,valve,Valve,,Water supply valves,Check valves,Pr_65_54_40_13
valve - chilled water valve,CHWV,HVAC,IfcValve,NOTDEFINED,valve,Valve,"Chilled Water Valve, Chilled Water Valve",,,
valve - condenser water valve,CDWV,HVAC,IfcValve,NOTDEFINED,valve,Valve,Water Valve,,,
valve - control valve,CV,"HVAC, HVAC control, PH",IfcValve,NOTDEFINED,valve,Valve,,,"(multiple, has gate valve, ball valve,",
valve - control valve modulating,CVM,"HVAC, HVAC control, PH",IfcValve,NOTDEFINED,,,,,,
valve - control valve open closed,CVO,"HVAC, HVAC control, PH",IfcValve,NOTDEFINED,,,,,,
valve - differential pressure control valve,DPCV,"HVAC, HVAC control, PH",IfcValve,NOTDEFINED,,,,,,
valve - energy valve,ENV,"HVAC, HVAC control, PH",IfcValve,NOTDEFINED ,valve,Valve,,,,
valve - float valve,FV,"HVAC, PH",IfcValve,NOTDEFINED,valve,Valve,,Water services valves,Float-operated valves,Pr_65_54_95_29
valve - flow control valve,FCV,HVAC,IfcValve,NOTDEFINED,valve,Valve,,,,
valve - gate valve,GTV,"HVAC, PH",IfcValve,STEAMTRAP,valve,Valve,,,,
valve - hot water valve,HWV,"HVAC, PH",IfcValve,NOTDEFINED,valve,Valve,Preheat Hot Water Valve,,,
valve - isolation valve,ISV,"HVAC, PH",IfcValve,ISOLATING,valve,Valve,Isolation Valve,,,
valve - level control valve,LCV,"HVAC, PH",IfcValve,NOTDEFINED,valve,Valve,,,,
valve - make up water valve,MUV,"HVAC, PH",IfcValve,NOTDEFINED,valve,Valve,Water Valve,,,
valve - master thermostatic valve,MMV,HVAC,IfcValve,NOTDEFINED,valve,Valve,Water Valve,Water services valves,Low temperature thermostatic mixing valves,Pr_65_54_95_48
valve - pressure attenuator,PA,HVAC,IfcValve,NOTDEFINED,valve,Valve,,,,
valve - pressure control valve,PCV,HVAC,IfcValve,,valve,Valve,,,,
valve - pressure independent control valve,PICV,"HVAC, HVAC control, PH",IfcValve,NOTDEFINED,,,,,,
valve - pressure reducing valve,PRV,"HVAC, PH",IfcValve,PRESSUREREDUCING,valve,Valve,Water Valve,Water services valves,Pressure reducing valves,Pr_65_54_95_66
valve - pressure relief valve,PRFV,"HVAC, PH",IfcValve,PRESSURERELIEF,valve,Valve,Water Valve,Water services valves,Pressure relief valves,Pr_65_54_95_65
valve - process water valve,PWV,HVAC,IfcValve,NOTDEFINED,valve,Valve,Water Valve,,,
valve - recirculation valve,RCV,"HVAC, PH",IfcValve,NOTDEFINED,valve,Valve,,,,
valve - return valve,RTV,"HVAC, PH",IfcValve,NOTDEFINED,,Valve,,,,
valve - steam pressure reducing valve,SPRV,"HVAC, HVAC Control",IfcValve,,valve,Valve,Steam Valve,,,
valve - supply valve,SPV,"HVAC, HVAC Control",IfcValve,NOTDEFINED,valve,,,,,
valve - temperature control valve,TCV,"HVAC, HVAC Control",IfcValve,NOTDEFINED,valve,Valve,,,,
valve - thermostatic mixing valve,TMV,"HVAC, HVAC Control",IfcValve,MIXING,valve,Valve,Water Valve,Water services valves,Thermostatic mixing valves,Pr_65_54_95_88
valve - water hammer arrestor,WHAV,HVAC,IfcValve,NOTDEFINED,valve,Valve,Water Valve,,,
valve - water solenoid valve,SNV,"HVAC, HVAC Control",IfcValve,SAFETYCUTOFF(?),valve,Valve,Valve,Water supply valves,Solenoid-operated valves,Pr_65_54_94_87
variable frequency drive,VFD,"HVAC, HVAC Control",IfcMotorConnection,NOTDEFINED,vdf,"VFD, Variable Frequency Drive",,"Motor starters, variable frequency drives and contactors",Variable speed drives,Pr_75_51_52_94
waste terminal - area drain,AD,PH,IfcWasteTerminal,NOTDEFINED,,,,,,
water heater - domestic electric water heater,DEWH,PH,IfcElectricAppliance,FREESTANDINGWATERHEATER,,,,,,
water heater - domestic gas water heater ,DGWH,PH,IfcBoiler,WATER,boiler,Boiler,,,,
water heater - instantaneous water heater,IWH,PH,IfcElectricAppliance,,,,,,,
water treatment - cooling tower water treatment unit,CTSU,HVAC,IfcUnitaryEquipment,NOTDEFINED,,,,,,
water treatment - dosing pot,DPOT,"HVAC, PH",IfcDistributionFlowElement,NOTDEFINED,,,,"Water treatment products","Water treatment dosing pots","Pr_60_55_97_97"
water treatment - electro magnetic water conditioner,EMWC,"HVAC, PH",IfcFlowTreatmentDevice,,,,,,,
weather station,WST,"HVAC, HVAC Control",IfcUnitaryControlElement,WEATHERSTATION,weatherStation,Weather Station,,Meteorological instrumentation,Weather stations,Pr_75_50_52_97
window,WINDOW,"Architecture, Security",IfcWindow,NOTDEFINED,,,,,,
